No,Symbol,Company Name,Company Name in Thai,Industry group,"Year 2023
(192 Companies)","Year 2022
(166 Companies)","Year 2021
(143 Companies)","Year 2020
(120 Companies)","Year 2019
(94 Companies)","Year 2018
(76 Companies)","Year 2017
(62 Companies)","Year 2016
(49 Companies)","Year 2015
(50 Companies)"
1,AAV,ASIA AVIATION PCL,?????? ?????? ??????????  ?????? (?????),Services,,Yes,Yes,Yes,Yes,,,,
2,ACE,ABSOLUTE CLEAN ENERGY PCL,?????? ????????? ???? ???????????? ?????? (?????),Resources,AA,Yes,,,,,,,
3,ADB,APPLIED DB PCL,?????? ???????? ???? ?????? (?????),Industrials,A,Yes,Yes,,,,,,
4,ADVANC,ADVANCED INFO SERVICE PCL,?????? ???????? ??????? ???????? ?????? (?????),Technology,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,AGE,ASIA GREEN ENERGY PCL,?????? ?????? ???? ???????? ?????? (?????),Resources,BBB,Yes,Yes,Yes,Yes,Yes,,,
6,AH,AAPICO HITECH PCL,?????? ?????? ????? ?????? (?????),Industrials,A,Yes,Yes,Yes,,Yes,,,
7,AJ,A.J. PLAST PCL,?????? ??.??.?????? ?????? (?????),Industrials,AAA,Yes,,,,,,,
8,AKP,AKKHIE PRAKARN PCL,?????? ??????????? ?????? (?????),Services,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,AMATA,AMATA CORPORATION PCL,?????? ???? ??????????? ?????? (?????),Property & Construction,AAA,Yes,Yes,Yes,Yes,Yes,,,
10,AMATAV,AMATA VN PCL,?????? ???? ?????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,,,,,
11,AOT,AIRPORTS OF THAILAND PCL,?????? ?????????????? ?????? (?????),Services,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,AP,AP (THAILAND) PCL,?????? ???? (????????)  ?????? (?????),Property & Construction,AA,Yes,,,,,,,
13,ARROW,ARROW SYNDICATE PCL,?????? ???????? ???????? ?????? (?????),Property & Construction,BBB,Yes,Yes,,,,,,
14,ASIAN,ASIAN SEA CORPORATION PCL,?????? ?????????? ????????????  ?????? (?????),Agro & Food Industry,,Yes,Yes,,,,,,
